Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ROST,Ross Stores Inc. Common Stock,$103.39,-0.445,-0.429%,35604518621.00,United States,1985,2920417,Consumer Discretionary,Clothing/Shoe/Accessory Stores
RPRX,Royalty Pharma plc Class A Ordinary Shares ,$32.77,-0.33,-0.997%,14522550803.00,United States,2020,2518513,Health Care,Biotechnology: Pharmaceutical Preparations
RYAAY,Ryanair Holdings plc American Depositary Shares,$90.45,-0.25,-0.276%,20598441257.00,Ireland,1997,438784,Consumer Discretionary,Air Freight/Delivery Services
SBAC,SBA Communications Corporation Class A Common Stock,$249.05,8.93,3.719%,26888817239.00,United States,1999,1299088,Real Estate,Real Estate Investment Trusts
SBUX,Starbucks Corporation Common Stock,$99.08,-0.30,-0.302%,113872644000.00,United States,1992,6408179,Consumer Discretionary,Beverages - Non-Alcoholic
SEDG,SolarEdge Technologies Inc. Common Stock,$316.21,11.89,3.907%,17749943679.00,Israel,2015,1129372,Technology,Semiconductors
SGEN,Seagen Inc. Common Stock,$197.65,25.04,14.507%,36918918388.00,United States,2001,9334876,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SIRI,Sirius XM Holdings Inc. Common Stock,$3.63,-0.04,-1.09%,14122516604.00,United States,,25490658,Consumer Discretionary,Movies/Entertainment
SNPS,Synopsys Inc. Common Stock,$357.29,2.06,0.58%,54415866175.00,United States,1992,785427,Technology,EDP Services
SNY,Sanofi ADS,$47.03,-0.25,-0.529%,117447110192.00,France,,1536722,Health Care,Biotechnology: Pharmaceutical Preparations
SPLK,Splunk Inc. Common Stock,$89.42,-1.20,-1.324%,14638054000.00,United States,2012,2113498,Technology,Computer Software: Prepackaged Software
SRPT,Sarepta Therapeutics Inc. Common Stock (DE),$142.77,-1.15,-0.799%,12532718376.00,United States,,1202542,Health Care,Biotechnology: Pharmaceutical Preparations
SSNC,SS&C Technologies Holdings Inc. Common Stock,$54.34,-0.92,-1.665%,13688833741.00,United States,2010,1402425,Technology,EDP Services
STLD,Steel Dynamics Inc.,$117.08,-3.28,-2.725%,20555900566.00,United States,1996,2346708,Industrials,Steel/Iron Ore
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),$60.34,-1.41,-2.283%,12459236354.00,Ireland,2002,2514289,Technology,Electronic Components
SWKS,Skyworks Solutions Inc. Common Stock,$111.27,-0.02,-0.018%,17689056118.00,United States,,1805409,Technology,Semiconductors
TCOM,Trip.com Group Limited American Depositary Shares,$37.28,1.20,3.326%,23924603175.00,China,2003,6986630,Consumer Discretionary,Hotels/Resorts
